,occu,raw,proc,compr,crop,cal,flush,pack,start,end,type
181,368.0,0,368,0.0,0,0,0,0,2022-03-21 12:02:00,2022-03-21 12:42:00,<class 'TMclass.PROC'>
182,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-21 12:42:00,2022-03-21 12:43:00,<class 'TMclass.COMPR'>
183,368.0,368,0,0.0,0,0,0,0,2022-03-21 18:00:00,2022-03-21 18:01:00,<class 'TMclass.RAW'>
184,320.0,0,0,0.0,320,0,0,0,2022-03-21 18:01:00,2022-03-21 18:02:00,<class 'TMclass.CROP'>
185,368.0,0,368,0.0,0,0,0,0,2022-03-21 18:02:00,2022-03-21 18:42:00,<class 'TMclass.PROC'>
186,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-21 18:42:00,2022-03-21 18:43:00,<class 'TMclass.COMPR'>
187,368.0,368,0,0.0,0,0,0,0,2022-03-22 00:00:00,2022-03-22 00:01:00,<class 'TMclass.RAW'>
188,320.0,0,0,0.0,320,0,0,0,2022-03-22 00:01:00,2022-03-22 00:02:00,<class 'TMclass.CROP'>
189,368.0,0,368,0.0,0,0,0,0,2022-03-22 00:02:00,2022-03-22 00:42:00,<class 'TMclass.PROC'>
190,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-22 00:42:00,2022-03-22 00:43:00,<class 'TMclass.COMPR'>
191,368.0,368,0,0.0,0,0,0,0,2022-03-22 06:00:00,2022-03-22 06:01:00,<class 'TMclass.RAW'>
192,320.0,0,0,0.0,320,0,0,0,2022-03-22 06:01:00,2022-03-22 06:02:00,<class 'TMclass.CROP'>
193,368.0,0,368,0.0,0,0,0,0,2022-03-22 06:02:00,2022-03-22 06:42:00,<class 'TMclass.PROC'>
194,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-22 06:42:00,2022-03-22 06:43:00,<class 'TMclass.COMPR'>
195,368.0,368,0,0.0,0,0,0,0,2022-03-22 12:00:00,2022-03-22 12:01:00,<class 'TMclass.RAW'>
196,320.0,0,0,0.0,320,0,0,0,2022-03-22 12:01:00,2022-03-22 12:02:00,<class 'TMclass.CROP'>
197,368.0,0,368,0.0,0,0,0,0,2022-03-22 12:02:00,2022-03-22 12:42:00,<class 'TMclass.PROC'>
198,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-22 12:42:00,2022-03-22 12:43:00,<class 'TMclass.COMPR'>
199,368.0,368,0,0.0,0,0,0,0,2022-03-22 18:00:00,2022-03-22 18:01:00,<class 'TMclass.RAW'>
200,320.0,0,0,0.0,320,0,0,0,2022-03-22 18:01:00,2022-03-22 18:02:00,<class 'TMclass.CROP'>
201,368.0,0,368,0.0,0,0,0,0,2022-03-22 18:02:00,2022-03-22 18:42:00,<class 'TMclass.PROC'>
202,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-22 18:42:00,2022-03-22 18:43:00,<class 'TMclass.COMPR'>
203,368.0,368,0,0.0,0,0,0,0,2022-03-23 00:00:00,2022-03-23 00:01:00,<class 'TMclass.RAW'>
204,320.0,0,0,0.0,320,0,0,0,2022-03-23 00:01:00,2022-03-23 00:02:00,<class 'TMclass.CROP'>
205,368.0,0,368,0.0,0,0,0,0,2022-03-23 00:02:00,2022-03-23 00:42:00,<class 'TMclass.PROC'>
206,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-23 00:42:00,2022-03-23 00:43:00,<class 'TMclass.COMPR'>
207,368.0,368,0,0.0,0,0,0,0,2022-03-23 06:00:00,2022-03-23 06:01:00,<class 'TMclass.RAW'>
208,320.0,0,0,0.0,320,0,0,0,2022-03-23 06:01:00,2022-03-23 06:02:00,<class 'TMclass.CROP'>
209,368.0,0,368,0.0,0,0,0,0,2022-03-23 06:02:00,2022-03-23 06:42:00,<class 'TMclass.PROC'>
210,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-23 06:42:00,2022-03-23 06:43:00,<class 'TMclass.COMPR'>
211,368.0,368,0,0.0,0,0,0,0,2022-03-23 12:00:00,2022-03-23 12:01:00,<class 'TMclass.RAW'>
212,320.0,0,0,0.0,320,0,0,0,2022-03-23 12:01:00,2022-03-23 12:02:00,<class 'TMclass.CROP'>
213,368.0,0,368,0.0,0,0,0,0,2022-03-23 12:02:00,2022-03-23 12:42:00,<class 'TMclass.PROC'>
